file_name,label,y,site_name,status,client_ip,orig_len,post_skip_len,valid_len,n_packets_raw,n_packets_used,seq_len,skip_n,base_seq_len_before_handshake_removal,handshake_len_packets,source_base_name,cache_build_note,pcapng_status,pcapng_preprocess_ms,pcapng_n_directions_read
clear_sample_0011,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1237,1237,506,1237,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,9.056200040504336,526
clear_sample_0012,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1102,1102,506,1102,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.686400018632412,526
clear_sample_0013,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4474,4474,506,4474,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,14.160300139337778,526
clear_sample_0014,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1093,1093,506,1093,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.44980007968843,526
clear_sample_0015,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4790,4790,506,4790,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.19049997255206,526
clear_sample_0016,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,6058,6058,506,6058,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,21.108899964019656,526
clear_sample_0017,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4747,4747,506,4747,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,6.969999987632036,526
clear_sample_0018,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,3338,3338,506,3338,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.377299876883626,526
clear_sample_0019,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1243,1243,506,1243,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.609500084072351,526
clear_sample_0020,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1154,1154,506,1154,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,4.5421000104397535,526
clear_sample_0021,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1124,1124,506,1124,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.337599923834205,526
clear_sample_0022,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1099,1099,506,1099,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,4.389500012621284,526
clear_sample_0023,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4533,4533,506,4533,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.62129994109273,526
clear_sample_0024,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1076,1076,506,1076,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.332200115546584,526
clear_sample_0025,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,2605,2605,506,2605,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.395399898290634,526
clear_sample_0026,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1242,1242,506,1242,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.265999844297767,526
clear_sample_0027,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1142,1142,506,1142,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.98440002836287,526
clear_sample_0028,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1079,1079,506,1079,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.442300138995051,526
clear_sample_0029,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1095,1095,506,1095,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.69979995675385,526
clear_sample_0030,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1091,1091,506,1091,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.776499958708882,526
clear_sample_0031,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4583,4583,506,4583,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.974100118502976,526
clear_sample_0032,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1133,1133,506,1133,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,9.3578000087291,526
clear_sample_0033,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5170,5170,506,5170,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.955199858173728,526
clear_sample_0034,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5163,5163,506,5163,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.387100072577596,526
clear_sample_0035,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4540,4540,506,4540,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.318800013512373,526
clear_sample_0036,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1155,1155,506,1155,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,4.333199933171272,526
clear_sample_0037,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5097,5097,506,5097,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.621499994769692,526
clear_sample_0038,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5133,5133,506,5133,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,14.322299975901842,526
clear_sample_0039,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4256,4256,506,4256,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,14.488600194454191,526
clear_sample_0040,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,3402,3402,506,3402,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,14.7687999997288,526
clear_sample_0041,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5028,5028,506,5028,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.406499987468123,526
clear_sample_0042,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5224,5224,506,5224,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,14.07509995624423,526
clear_sample_0043,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1146,1146,506,1146,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.841099984943867,526
clear_sample_0044,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1241,1241,506,1241,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.43510015308857,526
clear_sample_0045,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1124,1124,506,1124,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.936900015920401,526
clear_sample_0046,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1049,1049,506,1049,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.691599894315004,526
clear_sample_0047,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1175,1175,506,1175,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,4.421000136062503,526
clear_sample_0048,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1108,1108,506,1108,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.015699917450547,526
clear_sample_0049,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4093,4093,506,4093,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,11.65330014191568,526
clear_sample_0050,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4676,4676,506,4676,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,11.72389998100698,526
clear_sample_0051,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,2840,2840,506,2840,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.528800051659346,526
clear_sample_0052,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4207,4207,506,4207,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,12.760200072079895,526
clear_sample_0053,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1036,1036,506,1036,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.885499857366085,526
clear_sample_0054,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,3612,3612,506,3612,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.41119990684092,526
clear_sample_0055,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4293,4293,506,4293,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,12.575000058859588,526
clear_sample_0056,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1101,1101,506,1101,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.826000219210982,526
clear_sample_0057,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4846,4846,506,4846,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.412800151854752,526
clear_sample_0058,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1156,1156,506,1156,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.546700002625585,526
clear_sample_0059,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1109,1109,506,1109,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.670799899846315,526
clear_sample_0060,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1101,1101,506,1101,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.966999826952815,526
clear_sample_0061,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1028,1028,506,1028,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.669500075280666,526
clear_sample_0062,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1126,1126,506,1126,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,9.223299799486997,526
clear_sample_0063,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1123,1123,506,1123,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,9.225700050592422,526
clear_sample_0064,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4208,4208,506,4208,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,12.423599837347863,526
clear_sample_0065,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1108,1108,506,1108,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,4.240899812430143,526
clear_sample_0066,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1114,1114,506,1114,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.76499991863966,526
clear_sample_0067,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4167,4167,506,4167,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,12.8647000528872,526
clear_sample_0068,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1120,1120,506,1120,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.631300017237663,526
clear_sample_0069,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1119,1119,506,1119,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,9.854499949142337,526
clear_sample_0070,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1105,1105,506,1105,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.409799844026565,526
clear_sample_0071,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4661,4661,506,4661,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,11.856099823489783,526
clear_sample_0072,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1142,1142,506,1142,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.123000152409077,526
clear_sample_0073,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1065,1065,506,1065,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.263800060376525,526
clear_sample_0074,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1137,1137,506,1137,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.712000049650669,526
clear_sample_0075,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1170,1170,506,1170,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.987199980765581,526
clear_sample_0076,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1062,1062,506,1062,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.777099963277578,526
clear_sample_0077,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1058,1058,506,1058,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.493300061672926,526
clear_sample_0078,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1156,1156,506,1156,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.27920001372695,526
clear_sample_0079,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1110,1110,506,1110,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.74729996919632,526
clear_sample_0080,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1110,1110,506,1110,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.817399920895696,526
clear_sample_0081,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1144,1144,506,1144,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.564199855551124,526
clear_sample_0082,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1112,1112,506,1112,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.847299963235855,526
clear_sample_0083,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1107,1107,506,1107,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,9.665500139817595,526
clear_sample_0084,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1107,1107,506,1107,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.172799902036786,526
clear_sample_0085,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1150,1150,506,1150,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.363199885934591,526
clear_sample_0086,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4492,4492,506,4492,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.572599971666932,526
clear_sample_0087,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4760,4760,506,4760,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,12.701499974355102,526
clear_sample_0088,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5113,5113,506,5113,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.261300045996904,526
clear_sample_0089,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4344,4344,506,4344,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,12.462400132790208,526
clear_sample_0090,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5317,5317,506,5317,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,12.229399988427758,526
clear_sample_0091,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1121,1121,506,1121,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.279899902641773,526
clear_sample_0092,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1111,1111,506,1111,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,9.32629988528788,526
clear_sample_0093,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1224,1224,506,1224,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.386599900200963,526
clear_sample_0094,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5177,5177,506,5177,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,6.782700074836612,526
clear_sample_0095,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5258,5258,506,5258,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,11.94910006597638,526
clear_sample_0096,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4295,4295,506,4295,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,6.375700002536178,526
clear_sample_0097,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1020,1020,506,1020,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.328900042921305,526
clear_sample_0098,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1074,1074,506,1074,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,7.5677998829633,526
clear_sample_0099,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1180,1180,506,1180,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,4.008699906989932,526
clear_sample_0100,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1178,1178,506,1178,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.29549995251,526
clear_sample_0101,clear,0,clear_site_02,ok,CLIENT_IP_REDACTED,1203,1203,506,1203,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.838300127536058,526
clear_sample_0102,clear,0,clear_site_02,ok,CLIENT_IP_REDACTED,1099,1099,506,1099,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,9.456200059503317,526
clear_sample_0103,clear,0,clear_site_02,ok,CLIENT_IP_REDACTED,1132,1132,506,1132,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.999499958008528,526
clear_sample_0104,clear,0,clear_site_02,ok,CLIENT_IP_REDACTED,1095,1095,506,1095,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,6.2699997797608376,526
clear_sample_0105,clear,0,clear_site_02,ok,CLIENT_IP_REDACTED,1082,1082,506,1082,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.469099877402186,526
clear_sample_0106,clear,0,clear_site_02,ok,CLIENT_IP_REDACTED,1157,1157,506,1157,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,10.242799995467069,526
clear_sample_0107,clear,0,clear_site_02,ok,CLIENT_IP_REDACTED,1135,1135,506,1135,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.551400154829025,526
clear_sample_0108,clear,0,clear_site_02,ok,CLIENT_IP_REDACTED,1134,1134,506,1134,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.721299935132265,526
clear_sample_0109,clear,0,clear_site_02,ok,CLIENT_IP_REDACTED,1135,1135,506,1135,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.338600164279342,526
clear_sample_0110,clear,0,clear_site_02,ok,CLIENT_IP_REDACTED,1032,1032,506,1032,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.896199986338615,526
